A => BEGINPROGRAMA
AuAu => TIPO_INT
t1 => VARIAVEL
AUU => PONTOVIRGULA
AuAu => TIPO_INT
t2 => VARIAVEL
AUU => PONTOVIRGULA
AuAu => TIPO_INT
proximotermo => VARIAVEL
AUU => PONTOVIRGULA
AuAu => TIPO_INT
contador => VARIAVEL
AUU => PONTOVIRGULA
AuAu => TIPO_INT
limite => VARIAVEL
AUU => PONTOVIRGULA
t1 => VARIAVEL
Auuu => ATRIBUICAO
0 => INTEIRO
AUU => PONTOVIRGULA
t2 => VARIAVEL
Auuu => ATRIBUICAO
1 => INTEIRO
AUU => PONTOVIRGULA
limite => VARIAVEL
Auuu => ATRIBUICAO
15 => INTEIRO
AUU => PONTOVIRGULA
contador => VARIAVEL
Auuu => ATRIBUICAO
1 => INTEIRO
AUU => PONTOVIRGULA
AUUAUU => REPETICAO
contador => VARIAVEL
AuAUAU => MENOR_IGUAL
limite => VARIAVEL
Auu => DOISPONTOS
Au => INICIOBLOCO
AUAuu => SAIDA
t1 => VARIAVEL
AUU => PONTOVIRGULA
proximotermo => VARIAVEL
Auuu => ATRIBUICAO
t1 => VARIAVEL
AuuAuAu => SOMA
t2 => VARIAVEL
AUU => PONTOVIRGULA
t1 => VARIAVEL
Auuu => ATRIBUICAO
t2 => VARIAVEL
AUU => PONTOVIRGULA
t2 => VARIAVEL
Auuu => ATRIBUICAO
proximotermo => VARIAVEL
AUU => PONTOVIRGULA
contador => VARIAVEL
Auuu => ATRIBUICAO
contador => VARIAVEL
AuuAuAu => SOMA
1 => INTEIRO
AUU => PONTOVIRGULA
AU => FIMBLOCO
UU => ENDPROGRAMA
